"","ratio","iteration","exact_solver_timeout","heuristic_timeout","exact_solver_exec_time","heuristic_exec_time","total_exec_time","exact_solver_new_solutions_count","heuristic_new_solutions_count","total_solutions_count","exact_solver_hypervolume","heuristic_hypervolume","final_hypervolume","method"
18,"30% : 70%",1,36.0,84.0,6.925513999999999,1.0,7.925513999999999,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
19,"20% : 80%",1,24.0,96.0,6.880111,1.0,7.880111,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
20,"10% : 90%",1,12.0,108.0,6.733148,1.0,7.733148,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
21,"0% : 100%",1,"",120.0,"",6.0,6.0,"",37.0,37.0,"",0.015245996659751923,0.015245996659751923,"gpba"
22,"100% : 0%",2,120.0,"",6.828752,"",6.828752,11.0,"",11.0,0.016400029591189014,"",0.016400029591189014,"gpba"
23,"90% : 10%",2,108.0,12.0,6.8350740000000005,1.0,7.8350740000000005,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
24,"80% : 20%",2,96.0,24.0,6.885176999999999,1.0,7.885176999999999,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
25,"70% : 30%",2,84.0,36.0,6.894390999999999,1.0,7.894390999999999,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
26,"60% : 40%",2,72.0,48.0,6.8376470000000005,1.0,7.8376470000000005,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
27,"50% : 50%",2,60.0,60.0,6.812589999999999,1.0,7.812589999999999,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
28,"40% : 60%",2,48.0,72.0,6.930895999999999,1.0,7.930895999999999,11.0,31.0,42.0,0.016400029591189014,0.016538564445601544,0.016538564445601544,"gpba"
