"","ratio","iteration","exact_solver_timeout","heuristic_timeout","exact_solver_exec_time","heuristic_exec_time","total_exec_time","exact_solver_new_solutions_count","heuristic_new_solutions_count","total_solutions_count","exact_solver_hypervolume","heuristic_hypervolume","final_hypervolume","method"
103,"60% : 40%",9,72.0,48.0,65.98992300000002,42.0,107.98992300000002,18.0,292.0,310.0,0.411840593592603,0.4193384528316123,0.4193384528316123,"aneja"
104,"50% : 50%",9,60.0,60.0,60.0,42.0,102.0,15.0,294.0,309.0,0.4117975455458301,0.4193384528316123,0.4193384528316123,"aneja"
105,"40% : 60%",9,48.0,72.0,48.0,42.0,90.0,12.0,294.0,306.0,0.41176643432422144,0.4193271550762643,0.4193271550762643,"aneja"
106,"30% : 70%",9,36.0,84.0,36.0,44.0,80.0,9.0,295.0,304.0,0.4020853349777196,0.41932492548459566,0.41932492548459566,"aneja"
107,"20% : 80%",9,24.0,96.0,22.072717,43.0,65.072717,7.0,293.0,300.0,0.4019704664809445,0.4192907741294445,0.4192907741294445,"aneja"
108,"10% : 90%",9,12.0,108.0,12.052681,59.0,71.052681,5.0,326.0,331.0,0.34199039194040354,0.4191408043747116,0.4191408043747116,"aneja"
109,"0% : 100%",9,"",120.0,"",120.0,120.0,"",185.0,185.0,"",0.35517629320334787,0.35517629320334787,"aneja"
0,"100% : 0%",0,120.0,"",103.838645,"",103.838645,32.0,"",32.0,0.419039870445994,"",0.419039870445994,"gpba"
1,"90% : 10%",0,108.0,12.0,100.17740700000003,12.0,112.17740700000003,32.0,224.0,256.0,0.419039870445994,0.419487118892069,0.419487118892069,"gpba"
2,"80% : 20%",0,96.0,24.0,96.0,24.0,120.0,31.0,295.0,326.0,0.4190385450667152,0.4194968467136546,0.4194968467136546,"gpba"
3,"70% : 30%",0,84.0,36.0,84.0,33.0,117.0,25.0,287.0,312.0,0.41900668144603626,0.419493921258992,0.419493921258992,"gpba"
