"","ratio","iteration","exact_solver_timeout","heuristic_timeout","exact_solver_exec_time","heuristic_exec_time","total_exec_time","exact_solver_new_solutions_count","heuristic_new_solutions_count","total_solutions_count","exact_solver_hypervolume","heuristic_hypervolume","final_hypervolume","method"
74,"20% : 80%",6,24.0,96.0,24.0,1.0,25.0,63.0,56.0,119.0,0.2849733425382359,0.2850390686266579,0.2850390686266579,"aneja"
75,"10% : 90%",6,12.0,108.0,12.0,1.0,13.0,33.0,80.0,113.0,0.2845334227781,0.28503759257142075,0.28503759257142075,"aneja"
76,"0% : 100%",6,"",120.0,"",4.0,4.0,"",83.0,83.0,"",0.2786948252966722,0.2786948252966722,"aneja"
77,"100% : 0%",7,120.0,"",120.0,"",120.0,122.0,"",122.0,0.2850112531791641,"",0.2850112531791641,"aneja"
78,"90% : 10%",7,108.0,12.0,108.0,1.0,109.0,120.0,9.0,129.0,0.28501107309806556,0.2850392871412577,0.2850392871412577,"aneja"
79,"80% : 20%",7,96.0,24.0,96.0,1.0,97.0,118.0,11.0,129.0,0.2850110687109281,0.2850392871412577,0.2850392871412577,"aneja"
80,"70% : 30%",7,84.0,36.0,84.0,1.0,85.0,116.0,11.0,127.0,0.2850109386427768,0.28503924173162964,0.28503924173162964,"aneja"
81,"60% : 40%",7,72.0,48.0,72.0,1.0,73.0,106.0,20.0,126.0,0.28500889148273867,0.28503922943615023,0.28503922943615023,"aneja"
82,"50% : 50%",7,60.0,60.0,60.0,1.0,61.0,103.0,20.0,123.0,0.28500773774094473,0.28503919925641014,0.28503919925641014,"aneja"
83,"40% : 60%",7,48.0,72.0,48.0,1.0,49.0,94.0,29.0,123.0,0.2849960443637874,0.28503919925641014,0.28503919925641014,"aneja"
84,"30% : 70%",7,36.0,84.0,36.0,1.0,37.0,74.0,47.0,121.0,0.2849746360926352,0.28503911798566395,0.28503911798566395,"aneja"
85,"20% : 80%",7,24.0,96.0,24.0,1.0,25.0,63.0,56.0,119.0,0.2849733425382359,0.2850390686266579,0.2850390686266579,"aneja"
86,"10% : 90%",7,12.0,108.0,12.0,1.0,13.0,33.0,80.0,113.0,0.2845334227781,0.28503759257142075,0.28503759257142075,"aneja"
87,"0% : 100%",7,"",120.0,"",4.0,4.0,"",83.0,83.0,"",0.2786948252966722,0.2786948252966722,"aneja"
88,"100% : 0%",8,120.0,"",120.0,"",120.0,122.0,"",122.0,0.2850112531791641,"",0.2850112531791641,"aneja"
89,"90% : 10%",8,108.0,12.0,108.0,1.0,109.0,120.0,9.0,129.0,0.28501107309806556,0.2850392871412577,0.2850392871412577,"aneja"
90,"80% : 20%",8,96.0,24.0,96.0,1.0,97.0,117.0,12.0,129.0,0.2850110665173594,0.2850392871412577,0.2850392871412577,"aneja"
91,"70% : 30%",8,84.0,36.0,84.0,1.0,85.0,115.0,12.0,127.0,0.28501020762104157,0.28503924173162964,0.28503924173162964,"aneja"
92,"60% : 40%",8,72.0,48.0,72.0,1.0,73.0,106.0,20.0,126.0,0.28500889148273867,0.28503922943615023,0.28503922943615023,"aneja"
93,"50% : 50%",8,60.0,60.0,60.0,1.0,61.0,103.0,20.0,123.0,0.28500773774094473,0.28503919925641014,0.28503919925641014,"aneja"
94,"40% : 60%",8,48.0,72.0,48.0,1.0,49.0,95.0,28.0,123.0,0.28499896518374457,0.28503919925641014,0.28503919925641014,"aneja"
95,"30% : 70%",8,36.0,84.0,36.0,1.0,37.0,74.0,47.0,121.0,0.2849746360926352,0.28503911798566395,0.28503911798566395,"aneja"
96,"20% : 80%",8,24.0,96.0,24.0,1.0,25.0,62.0,56.0,118.0,0.2849724456175489,0.2850381717059709,0.2850381717059709,"aneja"
97,"10% : 90%",8,12.0,108.0,12.0,1.0,13.0,34.0,79.0,113.0,0.28453664661224876,0.28503759257142075,0.28503759257142075,"aneja"
98,"0% : 100%",8,"",120.0,"",4.0,4.0,"",83.0,83.0,"",0.2786948252966722,0.2786948252966722,"aneja"
99,"100% : 0%",9,120.0,"",120.0,"",120.0,122.0,"",122.0,0.2850112531791641,"",0.2850112531791641,"aneja"
100,"90% : 10%",9,108.0,12.0,108.0,1.0,109.0,120.0,9.0,129.0,0.28501107309806556,0.2850392871412577,0.2850392871412577,"aneja"
101,"80% : 20%",9,96.0,24.0,96.0,1.0,97.0,118.0,11.0,129.0,0.2850110687109281,0.2850392871412577,0.2850392871412577,"aneja"
102,"70% : 30%",9,84.0,36.0,84.0,1.0,85.0,116.0,11.0,127.0,0.2850109386427768,0.28503924173162964,0.28503924173162964,"aneja"
103,"60% : 40%",9,72.0,48.0,72.0,1.0,73.0,106.0,20.0,126.0,0.28500889148273867,0.28503922943615023,0.28503922943615023,"aneja"
104,"50% : 50%",9,60.0,60.0,60.0,1.0,61.0,103.0,20.0,123.0,0.28500773774094473,0.28503919925641014,0.28503919925641014,"aneja"
105,"40% : 60%",9,48.0,72.0,48.0,1.0,49.0,95.0,28.0,123.0,0.28499896518374457,0.28503919925641014,0.28503919925641014,"aneja"
106,"30% : 70%",9,36.0,84.0,36.0,1.0,37.0,74.0,47.0,121.0,0.2849746360926352,0.28503911798566395,0.28503911798566395,"aneja"
107,"20% : 80%",9,24.0,96.0,24.0,1.0,25.0,63.0,56.0,119.0,0.2849733425382359,0.2850390686266579,0.2850390686266579,"aneja"
108,"10% : 90%",9,12.0,108.0,12.0,1.0,13.0,33.0,80.0,113.0,0.2845334227781,0.28503759257142075,0.28503759257142075,"aneja"
109,"0% : 100%",9,"",120.0,"",4.0,4.0,"",83.0,83.0,"",0.2786948252966722,0.2786948252966722,"aneja"
0,"100% : 0%",0,120.0,"",3.0459199999999993,"",3.0459199999999993,17.0,"",17.0,0.2844864198979683,"",0.2844864198979683,"gpba"
1,"90% : 10%",0,108.0,12.0,3.050264999999999,1.0,4.050265,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
2,"80% : 20%",0,96.0,24.0,3.0811459999999995,1.0,4.0811459999999995,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
3,"70% : 30%",0,84.0,36.0,3.024205,1.0,4.024205,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
4,"60% : 40%",0,72.0,48.0,3.0500239999999996,1.0,4.050024,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
5,"50% : 50%",0,60.0,60.0,3.088624,1.0,4.088623999999999,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
6,"40% : 60%",0,48.0,72.0,3.0373829999999993,1.0,4.037382999999999,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
7,"30% : 70%",0,36.0,84.0,3.022118,1.0,4.022118,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
8,"20% : 80%",0,24.0,96.0,3.0615920000000005,1.0,4.061592000000001,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
9,"10% : 90%",0,12.0,108.0,3.060485,1.0,4.060485,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
10,"0% : 100%",0,"",120.0,"",4.0,4.0,"",83.0,83.0,"",0.2786948252966722,0.2786948252966722,"gpba"
11,"100% : 0%",1,120.0,"",3.0352870000000003,"",3.0352870000000003,17.0,"",17.0,0.2844864198979683,"",0.2844864198979683,"gpba"
12,"90% : 10%",1,108.0,12.0,3.034316,1.0,4.0343160000000005,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
13,"80% : 20%",1,96.0,24.0,3.0781480000000006,1.0,4.0781480000000006,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
14,"70% : 30%",1,84.0,36.0,3.048389000000001,1.0,4.048389000000001,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
15,"60% : 40%",1,72.0,48.0,3.0736389999999996,1.0,4.073639,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
16,"50% : 50%",1,60.0,60.0,3.1290229999999997,1.0,4.129023,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
17,"40% : 60%",1,48.0,72.0,3.029771,1.0,4.029771,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
18,"30% : 70%",1,36.0,84.0,3.0438499999999995,1.0,4.043849999999999,17.0,96.0,113.0,0.2844864198979683,0.2850374934173823,0.2850374934173823,"gpba"
