"","ratio","iteration","exact_solver_timeout","heuristic_timeout","exact_solver_exec_time","heuristic_exec_time","total_exec_time","exact_solver_new_solutions_count","heuristic_new_solutions_count","total_solutions_count","exact_solver_hypervolume","heuristic_hypervolume","final_hypervolume","method"
91,"70% : 30%",8,84.0,36.0,78.63187899999998,36.0,114.63187899999998,24.0,693.0,717.0,0.39804680786443347,0.40526398756773174,0.40526398756773174,"aneja"
92,"60% : 40%",8,72.0,48.0,72.0,48.0,120.0,22.0,737.0,759.0,0.390003761218856,0.40533300343848666,0.40533300343848666,"aneja"
93,"50% : 50%",8,60.0,60.0,60.0,60.0,120.0,19.0,769.0,788.0,0.3896715095376324,0.40534052558850037,0.40534052558850037,"aneja"
94,"40% : 60%",8,48.0,72.0,48.0,68.0,116.0,15.0,778.0,793.0,0.38933193819957385,0.4052663934015547,0.4052663934015547,"aneja"
95,"30% : 70%",8,36.0,84.0,34.254096,81.0,115.254096,13.0,767.0,780.0,0.37259379355948935,0.40526629032803063,0.40526629032803063,"aneja"
96,"20% : 80%",8,24.0,96.0,24.0,82.0,106.0,9.0,789.0,798.0,0.3715288565412384,0.4052532831050135,0.4052532831050135,"aneja"
97,"10% : 90%",8,12.0,108.0,12.0,71.0,83.0,5.0,795.0,800.0,0.32662659861908805,0.40525220047015365,0.40525220047015365,"aneja"
98,"0% : 100%",8,"",120.0,"",120.0,120.0,"",324.0,324.0,"",0.40141806258086354,0.40141806258086354,"aneja"
99,"100% : 0%",9,120.0,"",120.0,"",120.0,25.0,"",25.0,0.39811308423759084,"",0.39811308423759084,"aneja"
100,"90% : 10%",9,108.0,12.0,102.476714,12.0,114.476714,24.0,366.0,390.0,0.39804680786443347,0.4036809961737788,0.4036809961737788,"aneja"
101,"80% : 20%",9,96.0,24.0,90.164326,24.0,114.164326,24.0,549.0,573.0,0.39804680786443347,0.40507289650238104,0.40507289650238104,"aneja"
102,"70% : 30%",9,84.0,36.0,78.80717,36.0,114.80717,24.0,690.0,714.0,0.39804680786443347,0.4052639680771823,0.4052639680771823,"aneja"
103,"60% : 40%",9,72.0,48.0,72.0,48.0,120.0,22.0,745.0,767.0,0.390003761218856,0.4053373172677859,0.4053373172677859,"aneja"
104,"50% : 50%",9,60.0,60.0,60.0,60.0,120.0,19.0,769.0,788.0,0.3896715095376324,0.40534052558850037,0.40534052558850037,"aneja"
105,"40% : 60%",9,48.0,72.0,48.0,70.0,118.0,15.0,778.0,793.0,0.38933193819957385,0.4052663934015547,0.4052663934015547,"aneja"
106,"30% : 70%",9,36.0,84.0,34.49687,81.0,115.49687,13.0,767.0,780.0,0.37259379355948935,0.40526629032803063,0.40526629032803063,"aneja"
107,"20% : 80%",9,24.0,96.0,24.0,82.0,106.0,9.0,789.0,798.0,0.3715288565412384,0.4052532831050135,0.4052532831050135,"aneja"
108,"10% : 90%",9,12.0,108.0,12.0,73.0,85.0,5.0,795.0,800.0,0.32662659861908805,0.40525220047015365,0.40525220047015365,"aneja"
109,"0% : 100%",9,"",120.0,"",120.0,120.0,"",304.0,304.0,"",0.4014176793795889,0.4014176793795889,"aneja"
0,"100% : 0%",0,120.0,"",120.13048700000003,"",120.13048700000003,44.0,"",44.0,0.4035165017482304,"",0.4035165017482304,"gpba"
1,"90% : 10%",0,108.0,12.0,108.0,12.0,120.0,41.0,467.0,508.0,0.40349849364966767,0.405331836488956,0.405331836488956,"gpba"
2,"80% : 20%",0,96.0,24.0,96.0,24.0,120.0,38.0,647.0,685.0,0.4034843566032093,0.4053466050164086,0.4053466050164086,"gpba"
3,"70% : 30%",0,84.0,36.0,84.032153,36.0,120.032153,35.0,714.0,749.0,0.40343988259397956,0.40534582363551735,0.40534582363551735,"gpba"
4,"60% : 40%",0,72.0,48.0,72.0,47.0,119.0,31.0,724.0,755.0,0.4033592762545006,0.4053429800843163,0.4053429800843163,"gpba"
5,"50% : 50%",0,60.0,60.0,60.03070199999999,53.0,113.03070199999999,27.0,736.0,763.0,0.4028573707289696,0.40533948050532737,0.40533948050532737,"gpba"
6,"40% : 60%",0,48.0,72.0,48.0,50.0,98.0,21.0,735.0,756.0,0.4021031770061521,0.405336728242533,0.405336728242533,"gpba"
7,"30% : 70%",0,36.0,84.0,36.0,58.0,94.0,18.0,764.0,782.0,0.3992252567183541,0.4053380253199832,0.4053380253199832,"gpba"
8,"20% : 80%",0,24.0,96.0,24.0,59.0,83.0,14.0,741.0,755.0,0.3979982976361294,0.40533960954135595,0.40533960954135595,"gpba"
9,"10% : 90%",0,12.0,108.0,12.0,66.0,78.0,8.0,757.0,765.0,0.37239816051410835,0.40533153190797644,0.40533153190797644,"gpba"
10,"0% : 100%",0,"",120.0,"",120.0,120.0,"",311.0,311.0,"",0.40134754303550957,0.40134754303550957,"gpba"
11,"100% : 0%",1,120.0,"",120.0,"",120.0,43.0,"",43.0,0.4035006156931051,"",0.4035006156931051,"gpba"
12,"90% : 10%",1,108.0,12.0,108.0,12.0,120.0,42.0,470.0,512.0,0.4034992658408079,0.40533212947171665,0.40533212947171665,"gpba"
13,"80% : 20%",1,96.0,24.0,96.031042,24.0,120.031042,39.0,630.0,669.0,0.4034849569970005,0.40534538820232613,0.40534538820232613,"gpba"
14,"70% : 30%",1,84.0,36.0,84.0,36.0,120.0,35.0,713.0,748.0,0.4034315951519729,0.40534582363551735,0.40534582363551735,"gpba"
15,"60% : 40%",1,72.0,48.0,72.034226,48.0,120.034226,31.0,744.0,775.0,0.4032742114233336,0.4053314099414099,0.4053314099414099,"gpba"
16,"50% : 50%",1,60.0,60.0,60.034575999999994,51.0,111.03457599999999,26.0,736.0,762.0,0.4028420423698008,0.40533948050532737,0.40533948050532737,"gpba"
17,"40% : 60%",1,48.0,72.0,48.029332000000004,51.0,99.02933200000001,22.0,739.0,761.0,0.40212715928184506,0.40533719266966506,0.40533719266966506,"gpba"
18,"30% : 70%",1,36.0,84.0,36.0,57.0,93.0,18.0,764.0,782.0,0.3992252567183541,0.4053380253199832,0.4053380253199832,"gpba"
19,"20% : 80%",1,24.0,96.0,24.0,59.0,83.0,14.0,741.0,755.0,0.3979982976361294,0.40533960954135595,0.40533960954135595,"gpba"
20,"10% : 90%",1,12.0,108.0,12.0,66.0,78.0,8.0,757.0,765.0,0.37239816051410835,0.40533153190797644,0.40533153190797644,"gpba"
21,"0% : 100%",1,"",120.0,"",120.0,120.0,"",327.0,327.0,"",0.4013110095042634,0.4013110095042634,"gpba"
