"","ratio","iteration","exact_solver_timeout","heuristic_timeout","exact_solver_exec_time","heuristic_exec_time","total_exec_time","exact_solver_new_solutions_count","heuristic_new_solutions_count","total_solutions_count","exact_solver_hypervolume","heuristic_hypervolume","final_hypervolume","method"
60,"50% : 50%",5,60.0,60.0,60.0,7.0,67.0,125.0,312.0,437.0,0.7700436514805024,0.7702797788428327,0.7702797788428327,"aneja"
61,"40% : 60%",5,48.0,72.0,48.0,7.0,55.0,106.0,262.0,368.0,0.7697643367213555,0.7702729290165531,0.7702729290165531,"aneja"
62,"30% : 70%",5,36.0,84.0,36.0,7.0,43.0,90.0,272.0,362.0,0.7696970997014863,0.7702631823815913,0.7702631823815913,"aneja"
63,"20% : 80%",5,24.0,96.0,19.186619,7.0,26.186619,66.0,302.0,368.0,0.769059256202857,0.7702252769053346,0.7702252769053346,"aneja"
64,"10% : 90%",5,12.0,108.0,12.0,8.0,20.0,38.0,368.0,406.0,0.7674603228940869,0.770215471810947,0.770215471810947,"aneja"
65,"0% : 100%",5,"",120.0,"",23.0,23.0,"",387.0,387.0,"",0.7700486458056027,0.7700486458056027,"aneja"
66,"100% : 0%",6,120.0,"",120.0,"",120.0,193.0,"",193.0,0.7702171195092744,"",0.7702171195092744,"aneja"
67,"90% : 10%",6,108.0,12.0,108.0,7.0,115.0,175.0,258.0,433.0,0.7701992650756515,0.770304212713623,0.770304212713623,"aneja"
68,"80% : 20%",6,96.0,24.0,58.632134,7.0,65.63213400000001,170.0,265.0,435.0,0.770196544236661,0.7703054764704184,0.7703054764704184,"aneja"
69,"70% : 30%",6,84.0,36.0,84.0,7.0,91.0,158.0,269.0,427.0,0.7701894153960499,0.7703034331982851,0.7703034331982851,"aneja"
70,"60% : 40%",6,72.0,48.0,72.0,8.0,80.0,142.0,304.0,446.0,0.770074802775621,0.7702829058895838,0.7702829058895838,"aneja"
71,"50% : 50%",6,60.0,60.0,60.0,7.0,67.0,125.0,312.0,437.0,0.7700436514805024,0.7702797788428327,0.7702797788428327,"aneja"
72,"40% : 60%",6,48.0,72.0,48.0,7.0,55.0,105.0,257.0,362.0,0.7697536019602907,0.7702657281348894,0.7702657281348894,"aneja"
73,"30% : 70%",6,36.0,84.0,36.0,7.0,43.0,89.0,271.0,360.0,0.7696964231971686,0.7702628410831418,0.7702628410831418,"aneja"
74,"20% : 80%",6,24.0,96.0,19.225049000000002,7.0,26.225049000000002,66.0,302.0,368.0,0.769059256202857,0.7702252769053346,0.7702252769053346,"aneja"
75,"10% : 90%",6,12.0,108.0,12.0,8.0,20.0,39.0,367.0,406.0,0.7675001111424765,0.770215471810947,0.770215471810947,"aneja"
76,"0% : 100%",6,"",120.0,"",25.0,25.0,"",387.0,387.0,"",0.7700486458056027,0.7700486458056027,"aneja"
77,"100% : 0%",7,120.0,"",120.0,"",120.0,190.0,"",190.0,0.7702128585477303,"",0.7702128585477303,"aneja"
78,"90% : 10%",7,108.0,12.0,108.0,7.0,115.0,175.0,258.0,433.0,0.7701992650756515,0.770304212713623,0.770304212713623,"aneja"
79,"80% : 20%",7,96.0,24.0,96.0,7.0,103.0,171.0,261.0,432.0,0.7701970538158812,0.770304073737851,0.770304073737851,"aneja"
80,"70% : 30%",7,84.0,36.0,52.933719,7.0,59.933719,159.0,270.0,429.0,0.7701918406928675,0.7703035829789668,0.7703035829789668,"aneja"
81,"60% : 40%",7,72.0,48.0,72.0,8.0,80.0,142.0,304.0,446.0,0.770074802775621,0.7702829058895838,0.7702829058895838,"aneja"
82,"50% : 50%",7,60.0,60.0,60.0,8.0,68.0,125.0,312.0,437.0,0.7700436514805024,0.7702797788428327,0.7702797788428327,"aneja"
83,"40% : 60%",7,48.0,72.0,48.0,7.0,55.0,107.0,261.0,368.0,0.7697660100284386,0.7702729290165531,0.7702729290165531,"aneja"
84,"30% : 70%",7,36.0,84.0,36.0,7.0,43.0,89.0,271.0,360.0,0.7696964231971686,0.7702628410831418,0.7702628410831418,"aneja"
85,"20% : 80%",7,24.0,96.0,24.0,7.0,31.0,65.0,300.0,365.0,0.7690578793145021,0.7702237268825708,0.7702237268825708,"aneja"
86,"10% : 90%",7,12.0,108.0,12.0,8.0,20.0,37.0,370.0,407.0,0.7673705525940552,0.7702137891479213,0.7702137891479213,"aneja"
87,"0% : 100%",7,"",120.0,"",23.0,23.0,"",387.0,387.0,"",0.7700486458056027,0.7700486458056027,"aneja"
88,"100% : 0%",8,120.0,"",120.0,"",120.0,191.0,"",191.0,0.7702140836422129,"",0.7702140836422129,"aneja"
89,"90% : 10%",8,108.0,12.0,108.0,7.0,115.0,174.0,258.0,432.0,0.7701991260998796,0.770304073737851,0.770304073737851,"aneja"
90,"80% : 20%",8,96.0,24.0,96.0,7.0,103.0,170.0,262.0,432.0,0.7701957765218267,0.770304073737851,0.770304073737851,"aneja"
